F9B15DCF78 (rsp+5E8)  - 0000001000000021     - (qword)0000001000000021(68719476769)
F9B15DCF80 (rsp+5F0)  - 000000003F800000     - (float)1.00
F9B15DCF88 (rsp+5F8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCF90 (rsp+600)  - 800000003EAD9F02     - (float)0.34
F9B15DCF98 (rsp+608)  - 8000000080000000     - (qword)8000000080000000(9223372039002259456)
F9B15DCFA0 (rsp+610)  - 000000003EAA6FE0     - (float)0.33
F9B15DCFA8 (rsp+618)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCFB0 (rsp+620)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCFB8 (rsp+628)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCFC0 (rsp+630)  - 000000003FBC2BE4     - (float)1.47
F9B15DCFC8 (rsp+638)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCFD0 (rsp+640)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCFD8 (rsp+648)  - 000000F93EF7A189     - (float)0.48
F9B15DCFE0 (rsp+650)  - 00000276DB0BA924     - (pointer)276DB0BA924
F9B15DCFE8 (rsp+658)  - 0000000D0000000D     - (qword)0000000D0000000D(55834574861)
F9B15DCFF0 (rsp+660)  - 0000000600000000     - (qword)0000000600000000(25769803776)
F9B15DCFF8 (rsp+668)  - 0000001000000021     - (qword)0000001000000021(68719476769)
F9B15DD000 (rsp+670)  - 0000000E0000000F     - (qword)0000000E0000000F(60129542159)
F9B15DD008 (rsp+678)  - 0000000B0000000D     - (qword)0000000B0000000D(47244640269)
F9B15DD010 (rsp+680)  - 000002760000005D     - (qword)000002760000005D(2705829396573)
F9B15DD018 (rsp+688)  - 000000F9B15DD990     - (pointer)F9B15DD990
F9B15DD020 (rsp+690)  - 0000000000000008     - (qword)0000000000000008(8)
F9B15DD028 (rsp+698)  - 00007FF8EDE3877A     - (pointer)halo1.dll+C8877A
F9B15DD030 (rsp+6A0)  - 000000F9B15DD460     - (pointer)F9B15DD460
F9B15DD038 (rsp+6A8)  - 0000000000000008     - (qword)0000000000000008(8)
F9B15DD040 (rsp+6B0)  - 000000003F800000     - (float)1.00
F9B15DD048 (rsp+6B8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD050 (rsp+6C0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD058 (rsp+6C8)  - 0000000000000000     - (qword)0000000000000000(0)
